ID,Symptoms,symptom notes,Risk level,Recommendation,Management
1,ปากแห้ง,,ต่ำ,ทาวาสลีน,
2,ไอ,,ต่ำ ,จิบน้ำอุ่นบ่อยๆ และหากมีอาการทางเดินหายใจมากขึ้นแนะนำตรวจ atk,
3,ระคายเคืองคอ,,ต่ำ,จิบน้ำบ่อยๆ และหากมีอาการทางเดินหายใจมากขึ้นแนะนำตรวจ atk,
4,ผู้ป่วยที่ได้รับการรักษาด้วย ICBG วิ่งเล่น,,ต่ำ,ระวังอุบัติเหตุ และยังไม่ให้วิ่งเล่น เนื่องจากมีแผลที่สะโพกจาก ICBG,
5,แผลที่สะโพกพลาสเตอร์หลุด,,ต่ำ,ทำแผลที่โรงพยาบาลใกล้บ้าน และระวังแผลเปียกน้ำ,
6,ลวดจัดฟันเกี่ยวครูดปาก,,ต่ำ,รอพบทันตแพทย์ในวันที่นัดหมายติดตามอาการ หรือขอwax จากคลินิกจัดฟันมาติดบนลวด,
7,ลวดมัดฟันเกี่ยวครูดปาก,,ต่ำ,รอพบทันตแพทย์ในวันที่นัดหมายติดตามอาการ หรือขอwax จากคลินิกจัดฟันมาติดบนลวด,
8,ลวดทิ่มกระพุ้งแก้ม,,ต่ำ,รอพบทันตแพทย์ในวันที่นัดหมายติดตามอาการ หรือขอwax จากคลินิกจัดฟันมาติดบนลวด,
9,มีแผลคล้ายร้อนใน เนื่องจากถูกลวดมัดฟันเกี่ยว,,ต่ำ,ขอwax จากคลินิกจัดฟันมาติดบนลวด และซื้อยาทาแผลจากร้านขายยาได้,
10,กินยา ibuprofen แล้วแสบคอ,,ต่ำ,ผสมยา ibuprofen กับน้ำก่อนทานเพื่อลดอาการแสบคอ,
11,ยาขม,,ต่ำ,ผสมน้ำหวานทาน และแปรงฟันทำความสะอาดช่องปากหลังทานยาผสมน้ำหวาน,
12,ปวดท้องหลังทานยา Brufen,,ต่ำ,รับประทานยาทันทีหลังทานอาหาร และดื่มน้ำตามเยอะ ๆ หรือเปลี่ยนมาทานยา paracetamol แทนในกรณีที่ปวดไม่มาก,
13,มีก้อนเลือดที่แผลผ่าตัด,,ต่ำ,อย่าใช้ลิ้นดุนแผล หากก้อนเลือดมีขนาดใหญ่กว่าปกติโดยไม่สามารถทานข้าวหรือพูดได้หรือปิดทางเดินหายใจ แนะนำให้มาพบทันตแพทย์ก่อนนัดหมายได้,
14,มีเลือดปนน้ำมูก,,ต่ำ,ใช้ทิชชู่ซับด้านนอก ไม่สั่งน้ำมูกแรง ๆ,
15,กินอาหารอ่อนแล้วมีเลือดซึม,,ต่ำ,ทานอาหารเหลวข้นแทนได้ เช่น โจ๊กปั่น อกไก่ปั่น ซุปฟักทอง,
16,เลือดซึมเวลาแปรงฟัน,,ต่ำ ,แปรงฟันเบา ๆ ด้วยแปรงขนนุ่ม และหลีกเลี่ยงการแปรงโดนเหงือกที่มีแผลโดยใช้น้ำเกลือฉีดล้างแทน,
17,ยังไม่กล้าแปรงฟัน,,ต่ำ,แปรงฟันได้เบา ๆ ทุกครั้งหลังทานอาหาร และหลีกเลี่ยงการแปรงโดนเหงือกที่มีแผลโดยใช้น้ำเกลือฉีดล้างแทน,
18,เศษอาหารติดฟัน,,ต่ำ,กลั้วปากด้วยน้ำอุ่นเพื่อให้เศษอาหารนิ่มลง หลุดง่าย และใช้ไหมขัดฟันเพื่อทำความสะอาดบริเวณซอกฟัน,
19,เคี้ยวแล้วเจ็บ,,ต่ำ,ลดการเคี้ยวทานอาหารนิ่ม ๆ ,
20,แน่นท้องหลังกินข้าว,,ต่ำ,รับประทานอาหารเสร็จแล้วเดินย่อย อย่าพึ่งนอน และแบ่งกินมื้อละน้อยๆแต่บ่อยครั้ง,
21,ปวดกรามเวลาฝึกอ้าปาก,,ต่ำ,ประคบอุ่นก่อนฝึกอ้าปาก,
22,คันบริเวณที่เอาเข็มน้ำเกลือออก,,ต่ำ,หลีกเลี่ยงการเกาบริเวณที่คัน และประคบเย็นบริเวณที่เอาเข็มน้ำเกลือออก,
23,มีน้ำเหลืองไหลออกมาจากรูจมูก,,ซับซ้อน,,
24,มีแผลที่ลิ้น,,ซับซ้อน,,
25,บริเวณลิ้นเป็นตุ่มใส ๆ ,,ซับซ้อน,,
26,มีแผลที่มุมปาก,,ซับซ้อน,,
27,หูอื้อ,,ซับซ้อน,,
28,จมูกไม่ได้กลิ่น,,ซับซ้อน,,
29,ผื่นแดงขึ้นตามตัว,,ซับซ้อน,,
30,ผื่นคัน,,ซับซ้อน,,
31,ผื่นขึ้น,,ซับซ้อน,,
32,อาเจียนเป็นอาหารปั่นผสมที่ให้ผ่านทางสายยาง,,ซับซ้อน,ให้อาหารผ่านทางสายยางช้าลง,
